Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Congo, Rep.",COG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2504.292626,2455.340858,2189.162723,2017.853956,1924.718802,1901.055993,1740.827342,1718.23081,1704.267484,1697.961219
Costa Rica,CRI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11240.71159,11529.95517,11893.32325,12267.16204,12470.95742,12662.42285,12030.04859,12906.99704,13424.4647,14025.85645
Cote d'Ivoire,CIV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1858.615353,1941.581898,2027.833976,2122.502619,2168.913442,2256.837956,2216.327253,2315.321927,2399.699938,2493.45561
Croatia,HRV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11736.33488,12135.10362,12666.08721,13250.41072,13768.18945,14321.33448,13157.97243,15520.79749,16712.03605,17234.48109
Cuba,CUB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7362.311259,7683.740254,7721.70357,7865.338609,8047.941031,8043.014197,7172.517928,7291.037772,7449.68288,..
Curacao,CUW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,19529.52867,19361.813,18953.05374,18651.47981,18355.17671,17980.52982,14974.32567,15867.24575,17391.61578,..
Cyprus,CYP,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,22581.81641,23487.21875,24916.61914,26101.28516,27241.06445,28362.08398,27076.74023,29484.40039,30556.71875,30768.91992
Czechia,CZE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,16951.37912,17829.69832,18247.01173,19139.23988,19689.5827,20206.42564,19048.08685,20085.51607,20237.29455,19800.27922
Denmark,DNK,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,52404.76397,53254.85637,54556.06895,55735.7649,56563.48847,57203.02779,55653.58745,59205.64669,60345.55732,61031.81371
Djibouti,DJI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2279.577595,2409.311902,2538.054019,2632.913333,2714.351648,2820.062866,2814.826221,2901.137113,2968.251546,3122.94931
Dominica,DMA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8013.753085,7724.042411,7929.805284,7370.433117,7586.646141,7936.304818,6566.427357,6978.470497,7335.194758,7648.983291
Dominican Republic,DOM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6472.849086,6838.936746,7209.990202,7461.653269,7894.955192,8205.142592,7571.78282,8410.605843,8732.080739,8856.068663
Ecuador,ECU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6084.307647,6002.108311,5872.45972,6127.149467,6075.166156,5970.108945,5342.739038,5798.364437,6087.535279,6166.004759
"Egypt, Arab Rep.",EGY,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3301.204443,3370.382447,3444.268262,3517.587895,3635.420582,3769.03577,3835.784215,3896.842853,4088.897045,4177.61446
El Salvador,SLV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3686.095562,3761.51368,3845.022493,3921.315863,4009.716557,4104.917892,3773.393674,4208.271846,4310.910799,4442.24966
Equatorial Guinea,GNQ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11200.81072,9788.983804,8594.450219,7818.05359,7079.650526,6472.070883,5995.905844,5905.3448,5976.900108,5506.005041
Eritrea,ERI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..
Estonia,EST,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,17096.64458,17402.03761,17945.94496,18962.4103,19611.61099,20327.01587,20091.04576,21524.68363,21140.99722,20245.2034
Eswatini,SWZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3530.360904,3583.31129,3594.167067,3638.768782,3696.35985,3766.062999,3672.65335,4025.42383,4012.94045,4175.459321
Ethiopia,ETH,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,586.5736135,630.3126194,671.2905759,715.7487347,744.3675203,785.484972,811.2555399,834.9912914,857.3487002,890.3496172
Faroe Islands,FRO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,52595.02543,52726.68738,52762.42872,53822.9099,54506.38707,56099.96896,54248.5498,56856.68539,59699.20083,..
Fiji,FJI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4894.043571,5105.189592,5223.376008,5499.122203,5708.91093,5679.051827,4701.331468,4451.602599,5313.028438,5698.964205
Finland,FIN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,42710.92129,42801.90812,43878.96673,45173.62941,45627.91989,46135.88142,44984.73445,46165.68655,46655.16536,45939.29165
France,FRA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,36378.61866,36652.92231,36956.7958,37694.0833,38259.69777,38832.0242,35806.61789,38002.19424,38816.47928,38975.57662
French Polynesia,PYF,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,18072.11379,18252.5142,18573.38493,19260.61953,19471.39011,19856.25906,18321.52796,18575.3862,19262.6132,..
